n,run,theta_NO,theta_BH,t_NO,t_BH
100,11,0.00017539993859827518,0.009355899994261563,0.2668933999957517,0.05639229994267225
100,12,0.00018289999570697546,0.009402700001373887,0.2747559000272304,0.03487929992843419
100,13,0.0001767000649124384,0.01081999996677041,0.2841025999514386,0.05150080006569624
100,14,0.00017330003902316093,0.009487199946306646,0.25030039995908737,0.050944100017659366
100,15,0.00017120002303272486,0.00947660009842366,0.24720450001768768,0.044835599954240024
100,16,0.00017629994545131922,0.009465300012379885,0.25512590003199875,0.05697120004333556
100,17,0.0001735000405460596,0.009378899936564267,0.2494781999848783,0.05317750002723187
100,18,0.00017630006186664104,0.009757300023920834,0.2650759000098333,0.04448389995377511
100,19,0.00017690006643533707,0.009891499998047948,0.26020619994960725,0.0396273999940604
100,20,0.00017500005196779966,0.00933539995457977,0.2581432999577373,0.044522800017148256
100,21,0.00017610006034374237,0.00942160002887249,0.24046480003744364,0.04582340002525598
100,22,0.000175100052729249,0.009284900035709143,0.2582621000474319,0.05403819994535297
100,23,0.00017330003902316093,0.00941109994892031,0.273660899954848,0.0450140000320971
100,24,0.00017399992793798447,0.009435500018298626,0.2670495000202209,0.04704489989671856
100,25,0.00017269991803914309,0.00933389994315803,0.2595594000304118,0.049055300070904195
100,26,0.00017330003902316093,0.009312900016084313,0.2645581999095157,0.04359030001796782
100,27,0.000174800050444901,0.009536800091154873,0.256944700027816,0.050585499964654446
100,28,0.0001732000382617116,0.009505599969998002,0.25535849994048476,0.037977200001478195
100,29,0.00018200010526925325,0.009412699961103499,0.24854969989974052,0.05398960004094988
100,30,0.00018880004063248634,0.009344000020064414,0.2570087999338284,0.049635899951681495
100,31,0.0001770000671967864,0.009322599973529577,0.25902499991934747,0.05098469997756183
100,32,0.00017290003597736359,0.009407699923031032,0.2592728999443352,0.05091400002129376
100,33,0.00017589994240552187,0.009411699953489006,0.2703989000292495,0.0430597000522539
100,34,0.00017470004968345165,0.009375500027090311,0.2566369000123814,0.045564400032162666
100,35,0.00017760007176548243,0.009428499964997172,0.2591012999182567,0.04910509998444468
100,36,0.00017010001465678215,0.009340899996459484,0.2649486999725923,0.04172790003940463
100,37,0.00017629994545131922,0.009423600044101477,0.2848740000044927,0.043886100058443844
100,38,0.0001716000260785222,0.009408199926838279,0.2617064999649301,0.04204359999857843
100,39,0.00017289991956204176,0.009265100001357496,0.24182230001315475,0.05306209996342659
100,40,0.00017619994468986988,0.009332400048151612,0.24596980004571378,0.04903200000990182
100,41,0.00017360004130750895,0.009263799991458654,0.24227849999442697,0.03714719996787608
100,42,0.00018129998352378607,0.009488200070336461,0.26546080003026873,0.05482580000534654
100,43,0.0001821999903768301,0.009388200007379055,0.2568474999861792,0.04526919999625534
100,44,0.00017619994468986988,0.009326200000941753,0.25412359996698797,0.04168779996689409
100,45,0.00017030001617968082,0.009453000035136938,0.24661350005771965,0.06856619997415692
100,46,0.00017500005196779966,0.009292299975641072,0.24774959997739643,0.04784519993700087
100,47,0.00017509993631392717,0.009363500052131712,0.25153600005432963,0.04577540000900626
100,48,0.00017559994012117386,0.009411800070665777,0.24845050007570535,0.047013700008392334
100,49,0.0001767999492585659,0.009230899973772466,0.25643970002420247,0.047115499968640506
100,50,0.00017309992108494043,0.009302299935370684,0.2760605000657961,0.04701410001143813
100,51,0.00017390004359185696,0.009406799916177988,0.2650687999557704,0.054361200076527894
100,52,0.00017170002683997154,0.009322400088422,0.28733640001155436,0.048580999951809645
100,53,0.00017310003750026226,0.009245699970051646,0.25245139992330223,0.040691500063985586
100,54,0.00017260003369301558,0.009425999945960939,0.2544620999833569,0.0459214000729844
100,55,0.00017420004587620497,0.009367099963128567,0.2252265999559313,0.04348770005162805
100,56,0.0001838000025600195,0.009585699997842312,0.24435459997039288,0.0526901000412181
100,57,0.00017370004206895828,0.009579100064001977,0.26496239996049553,0.04552859999239445
100,58,0.00017319992184638977,0.009347400045953691,0.2630964000709355,0.04998150002211332
100,59,0.0001729999203234911,0.009415799984708428,0.24938930000644177,0.052652299986220896
100,60,0.00016980001237243414,0.00955909991171211,0.24734240001998842,0.05082540004514158
100,61,0.0001818999880924821,0.009501599939540029,0.2703175999922678,0.059708000044338405
100,62,0.00017859996296465397,0.009436600026674569,0.25746150000486523,0.057315200101584196
100,63,0.00021029997151345015,0.00954160001128912,0.2748081999598071,0.04530040000099689
100,64,0.000277700019069016,0.011351699940860271,0.25580889999400824,0.05239300010725856
100,65,0.00017710006795823574,0.009397399961017072,0.26858139992691576,0.05679290008265525
100,66,0.00017390004359185696,0.00936080003157258,0.25626549997832626,0.044398300000466406
100,67,0.00017090002074837685,0.010572000057436526,0.2608153000473976,0.06091070000547916
100,68,0.000179499969817698,0.009660999989137053,0.2678673999616876,0.046642999979667366
100,69,0.0001810999820008874,0.009725100011564791,0.2655605999752879,0.053147399914450943
100,70,0.00017690006643533707,0.013830099953338504,0.2647640999639407,0.05410710000433028
100,71,0.00018900004215538502,0.010438599972985685,0.28280619997531176,0.04615319997537881
100,72,0.0002544000744819641,0.009654199937358499,0.2697744999313727,0.0420980000635609
100,73,0.00017900008242577314,0.009563299943692982,0.28948239993769675,0.03797449998091906
100,74,0.00018199998885393143,0.010545000084675848,0.2823828000109643,0.05066189996432513
100,75,0.00017699995078146458,0.009459700086154044,0.25564810005016625,0.04065919993445277
100,76,0.00019479996990412474,0.010172400041483343,0.28183450002688915,0.0494480999186635
100,77,0.00017550005577504635,0.009302500053308904,0.29428009991534054,0.04363769991323352
100,78,0.00018159998580813408,0.009635500027798116,0.26046030002180487,0.05223709996789694
100,79,0.00017959997057914734,0.009515300043858588,0.2574958000332117,0.04806800000369549
100,80,0.00017490005120635033,0.009359000017866492,0.25425979995634407,0.04124199994839728
100,81,0.00017629994545131922,0.009364199941046536,0.24898939998820424,0.044622200075536966
100,82,0.00017760007176548243,0.010312500060535967,0.2620979000348598,0.062191099976189435
100,83,0.00017549993935972452,0.009491999982856214,0.262522800010629,0.04939029994420707
100,84,0.00017899996601045132,0.009415999986231327,0.26331890001893044,0.03992719994857907
100,85,0.00017470004968345165,0.010369200026616454,0.2618518000235781,0.0551465000025928
100,86,0.00017779995687305927,0.009467399911954999,0.24494240002240986,0.037764000007882714
100,87,0.0001748999347910285,0.009605600032955408,0.25744790001772344,0.047993999905884266
100,88,0.000232999911531806,0.009684099932201207,0.2879182000178844,0.04626139998435974
100,89,0.00017100002150982618,0.009787700022570789,0.26152179995551705,0.0530173999723047
100,90,0.0001799999736249447,0.009655000059865415,0.2580714999930933,0.04640929994639009
100,91,0.000175100052729249,0.009439100045710802,0.2742127999663353,0.050290900049731135
100,92,0.0001876999158412218,0.009410500060766935,0.2742416000692174,0.06044779997318983
100,93,0.00017609994392842054,0.010270500089973211,0.27274500008206815,0.04390079993754625
100,94,0.0001775999553501606,0.009461099980399013,0.25672549998853356,0.045207299990579486
100,95,0.0001802999759092927,0.009370299987494946,0.267794799990952,0.05066049995366484
100,96,0.00017689995002001524,0.00954439991619438,0.2735981000587344,0.04609399999026209
100,97,0.00017749995458871126,0.009358700015582144,0.2630852999864146,0.04032459994778037
100,98,0.00017709995154291391,0.00935930002015084,0.2607412999495864,0.04767090000677854
100,99,0.00017140002455562353,0.009410400060005486,0.2804170000599697,0.05369600001722574
400,0,0.0008345999522134662,0.33416460000444204,15.05788980005309,1.521762700052932
400,1,0.0008564000017940998,0.3389939999906346,18.20234319998417,1.6561979999532923
400,2,0.0008482999401167035,0.31050049990881234,14.35683639999479,2.0942350000841543
400,3,0.0008382000960409641,0.30656179995276034,18.555929699912667,2.069675200036727
400,4,0.0008439000230282545,0.3071404999354854,13.723218599916436,2.03876330005005
400,5,0.0008467000443488359,0.31272449996322393,14.064030400011688,2.0753869999898598
400,6,0.0010847999947145581,0.3747852999949828,17.73318300000392,1.8857606999808922
400,7,0.00149940000846982,0.30856209993362427,15.12023959995713,1.663556499988772
400,8,0.0008656999561935663,0.3063364999834448,14.243694700067863,1.9340580999851227
400,9,0.0008441000245511532,0.3189121000468731,13.134920999989845,1.700130800018087
400,10,0.0008474000496789813,0.3044655000558123,13.927763400017284,1.6284369999775663
400,11,0.0008407999994233251,0.3046039000619203,13.638617799966596,2.1426383999641985
400,12,0.0008680000901222229,0.3071081000380218,13.852272099931724,1.4248667999636382
400,13,0.0008542999858036637,0.3150638999650255,13.881013299920596,1.6604126000311226
